"Column","Row","Cell Nuclei / mm^2","Evaluated Area [mm^2]","Estimated Total Cell Count","Total Granule Count","Cell Nucleus","Contrast","Size [um^2]","Intensity","Roughness","Granularity","Granule Intensity","Granule Count","Longishness","Compactness"
5,N,6.336699e+000,1.025771e+001,1.220000e+002,9.700000e+001,65,2.808966e-001,6.101277e+002,8.091942e+001,1.574907e+001,4.442234e-001,8.296981e+001,1.492308e+000,1.732233e+000,6.147979e-001
5,O,5.556797e+000,1.025771e+001,1.300000e+002,9.400000e+001,57,5.049508e-001,6.244796e+002,1.008514e+002,3.135760e+001,5.877017e-001,1.746515e+002,1.649123e+000,1.348809e+000,7.318906e-001
5,P,5.069359e+000,1.025771e+001,1.590000e+002,1.070000e+002,52,3.744572e-001,3.817516e+002,6.297968e+001,1.494711e+001,9.573549e-001,5.181039e+001,2.057692e+000,2.029978e+000,4.996248e-001
6,A,1.949753e+000,1.025771e+001,1.610000e+002,2.800000e+001,20,3.336388e-001,2.955833e+002,5.981962e+001,1.316873e+001,6.949960e-001,3.661667e+001,1.400000e+000,2.041022e+000,4.909771e-001
6,B,6.824137e-001,1.025771e+001,6.200000e+001,9.000000e+000,7,2.602093e-001,4.562816e+002,6.644667e+001,1.412040e+001,5.481796e-001,6.546429e+001,1.285714e+000,1.399471e+000,7.020528e-001
6,C,4.094482e+000,1.025771e+001,1.090000e+002,5.000000e+001,42,3.852352e-001,5.394906e+002,8.846104e+001,2.178825e+001,4.788512e-001,1.329782e+002,1.190476e+000,1.379631e+000,7.114884e-001
6,D,3.265837e+001,1.025771e+001,3.990000e+002,4.770000e+002,335,3.881414e-001,5.284988e+002,9.516507e+001,2.068943e+001,6.110133e-001,1.422756e+002,1.423881e+000,1.298809e+000,7.237664e-001
6,E,3.314581e+001,1.025771e+001,4.760000e+002,4.270000e+002,340,3.692179e-001,4.370898e+002,1.137105e+002,2.509289e+001,6.690824e-001,1.666690e+002,1.255882e+000,1.288310e+000,7.455452e-001
6,F,1.423320e+001,1.025771e+001,2.300000e+002,2.020000e+002,146,4.116394e-001,4.927152e+002,9.572188e+001,2.591247e+001,5.405898e-001,1.398498e+002,1.383562e+000,1.400592e+000,7.178562e-001
6,G,7.409063e+000,1.025771e+001,1.630000e+002,1.160000e+002,76,4.554980e-001,5.519443e+002,1.028569e+002,2.803865e+001,6.732580e-001,1.692421e+002,1.526316e+000,1.256949e+000,7.441427e-001
6,H,8.354694e+001,1.025771e+001,9.480000e+002,1.332000e+003,857,3.365225e-001,5.763443e+002,9.990480e+001,1.956657e+001,6.825496e-001,1.349903e+002,1.554259e+000,1.399776e+000,6.950746e-001
6,I,2.827143e+000,1.025771e+001,1.020000e+002,6.100000e+001,29,2.726638e-001,5.427612e+002,7.872493e+001,1.577414e+001,8.138166e-001,8.400189e+001,2.103448e+000,1.932941e+000,5.742543e-001
6,J,2.144729e+000,1.025771e+001,1.570000e+002,1.400000e+001,22,3.026585e-001,2.794416e+002,5.580627e+001,1.303413e+001,4.857124e-001,2.874242e+001,6.363636e-001,1.935846e+000,5.338864e-001
6,K,5.527551e+001,1.025771e+001,6.290000e+002,8.850000e+002,567,3.813994e-001,5.957277e+002,9.293526e+001,1.977680e+001,6.754232e-001,1.338440e+002,1.560847e+000,1.387190e+000,7.074314e-001
6,L,6.726649e+000,1.025771e+001,1.710000e+002,1.090000e+002,69,4.186920e-001,6.085441e+002,8.864586e+001,2.159030e+001,6.104321e-001,1.381441e+002,1.579710e+000,1.322107e+000,7.350624e-001
6,M,1.647542e+001,1.025771e+001,3.390000e+002,2.700000e+002,169,3.354641e-001,6.487296e+002,8.651437e+001,1.578734e+001,5.658092e-001,1.147440e+002,1.597633e+000,1.344398e+000,7.023508e-001
6,N,3.217093e+000,1.025771e+001,5.800000e+001,2.100000e+001,33,1.663199e-001,4.256983e+002,7.193856e+001,1.192587e+001,2.075428e-001,2.743939e+001,6.363636e-001,1.925861e+000,5.317900e-001
6,O,3.509556e+000,1.025771e+001,1.240000e+002,4.000000e+001,36,4.058829e-001,6.351502e+002,8.513800e+001,1.767102e+001,3.592137e-001,1.169259e+002,1.111111e+000,1.601672e+000,6.782869e-001
6,P,5.946748e+000,1.025771e+001,1.860000e+002,7.600000e+001,61,3.033478e-001,3.008057e+002,7.167976e+001,1.584671e+001,9.134659e-001,6.298361e+001,1.245902e+000,1.973346e+000,5.395717e-001
7,A,3.119606e+000,1.025771e+001,1.140000e+002,7.700000e+001,32,3.531972e-001,5.933209e+002,8.101714e+001,1.892246e+001,7.034175e-001,9.483688e+001,2.406250e+000,1.754729e+000,5.915350e-001
7,B,9.066354e+000,1.025771e+001,3.800000e+002,1.430000e+002,93,3.588135e-001,6.600339e+002,8.681267e+001,2.043561e+001,4.922384e-001,1.201207e+002,1.537634e+000,1.390820e+000,7.018975e-001
7,C,1.169852e+000,1.025771e+001,2.160000e+002,6.000000e+000,12,2.154620e-001,3.199542e+002,5.716415e+001,1.224460e+001,1.955006e-001,2.106250e+001,5.000000e-001,1.953045e+000,5.273904e-001
7,D,5.625039e+001,1.025771e+001,6.370000e+002,9.580000e+002,577,3.312566e-001,6.017779e+002,9.212217e+001,1.829175e+001,6.810983e-001,1.230844e+002,1.660312e+000,1.413444e+000,6.907764e-001
